epoch,step,train_loss,val_bcc,val_loss
0,61,,0.31160637736320496,1.7190736532211304
0,61,1.802024483680725,,
1,123,,0.39745134115219116,1.5886777639389038
1,123,1.6910890340805054,,
2,185,,0.4996936619281769,1.470323920249939
2,185,1.56709885597229,,
3,247,,0.5272600054740906,1.3643603324890137
3,247,1.4593807458877563,,
4,309,,0.5148410201072693,1.2765064239501953
4,309,1.3428195714950562,,
5,371,,0.5514611005783081,1.2025381326675415
5,371,1.2601326704025269,,
6,433,,0.5894736051559448,1.1432256698608398
6,433,1.174511432647705,,
7,495,,0.6188004612922668,1.0779082775115967
7,495,1.1418936252593994,,
8,557,,0.631733775138855,1.0536168813705444
8,557,1.103369116783142,,
9,619,,0.6168001890182495,1.0413355827331543
9,619,1.0429445505142212,,
10,681,,0.6214464902877808,1.024757742881775
10,681,1.0356285572052002,,
11,743,,0.6210641264915466,0.9992653727531433
11,743,0.9761114716529846,,
12,805,,0.6038117408752441,0.9615747332572937
12,805,0.9568846821784973,,
13,867,,0.6232202649116516,0.9964594841003418
13,867,0.9616941809654236,,
14,929,,0.6300078630447388,0.9618058800697327
14,929,0.9325893521308899,,
15,991,,0.6151742935180664,0.9710022211074829
15,991,0.8929239511489868,,
16,1053,,0.6046178936958313,0.9508631229400635
16,1053,0.87541663646698,,
17,1115,,0.6263039112091064,0.9257265329360962
17,1115,0.8620584607124329,,
18,1177,,0.6390565633773804,0.9114551544189453
18,1177,0.859474778175354,,
19,1239,,0.6298348903656006,0.9334577322006226
19,1239,0.8480125665664673,,
20,1301,,0.6217798590660095,0.9887519478797913
20,1301,0.810495138168335,,
21,1363,,0.645294189453125,0.913885772228241
21,1363,0.8278580904006958,,
22,1425,,0.5992998480796814,0.9712359309196472
22,1425,0.7771047353744507,,
23,1487,,0.6473278403282166,0.9353997111320496
23,1487,0.7654685378074646,,
24,1549,,0.6117560267448425,0.9637422561645508
24,1549,0.7531977295875549,,
25,1611,,0.6202635765075684,0.9718610644340515
25,1611,0.7559951543807983,,
26,1673,,0.6276214122772217,0.9530332088470459
26,1673,0.7590379118919373,,
27,1735,,0.6343806982040405,0.9353028535842896
27,1735,0.7304658889770508,,
28,1797,,0.615975558757782,0.9953001737594604
28,1797,0.7313193082809448,,
29,1859,,0.6268461346626282,0.9980155229568481
29,1859,0.730302095413208,,
30,1921,,0.6325888633728027,0.9687289595603943
30,1921,0.7194915413856506,,
31,1983,,0.6351577639579773,0.9544023871421814
31,1983,0.7100551128387451,,
32,2045,,0.6343285441398621,0.950076162815094
32,2045,0.688332736492157,,
33,2107,,0.6268535256385803,0.943954348564148
33,2107,0.6813921928405762,,
